person_name_norm,category,film_count,avg_rating
diomid vinogradov,actor,5,4.28
jason-shane scott,actor,5,4.28
michael johnston,actor,5,4.28
paolo ruffini,actor,5,4.28
mykel shannon jenkins,actor,6,4.2833333333333341
jim piddock,actor,9,4.28888888888889
adrian paul,actor,14,4.2928571428571427
morgan roberts,actor,3,4.3
trevor thomas,actor,3,4.3
ivaylo geraskov,actor,5,4.3
tommy wiseau,actor,4,4.3
keith scott,actor,3,4.3
greg lutz,actor,3,4.3
hakan meriçliler,actor,4,4.3
antonio sabato jr.,actor,5,4.3
blake adams,actor,3,4.3
eric pollins,actor,3,4.3
alan abelew,actor,4,4.3
jack forcinito,actor,3,4.3
carey scott,actor,3,4.3
clarence gilyard jr.,actor,3,4.3
xiro papas,actor,3,4.3
reed howes,actor,3,4.3
slate holmgren,actor,4,4.3
donny boaz,actor,5,4.3
steve barkett,actor,3,4.3
nick ballard,actor,3,4.3
michael esparza,actor,3,4.3
fredi nwaka,actor,3,4.3
joshua churchill,actor,3,4.3
yakup yavru,actor,3,4.3
mustafa shakir,actor,4,4.3
peter merrill,actor,3,4.3
shiping cao,actor,3,4.3
titus moede,actor,4,4.3
andy favreau,actor,3,4.3
ken metcalfe,actor,4,4.3
alexandre bacon,actor,3,4.3
mac fyfe,actor,3,4.3000000000000007
wesley cannon,actor,6,4.3000000000000007
henry douthwaite,actor,5,4.3000000000000007
rick cramer,actor,3,4.3000000000000007
swaylee loughnane,actor,5,4.3199999999999994
jacob davich,actor,4,4.325
joseph gatt,actor,4,4.325
sooraj pancholi,actor,4,4.325
vikram bhatt,actor,4,4.325
eric lutes,actor,4,4.325
john frederick,actor,4,4.325
michael sirow,actor,16,4.3312500000000007
taylor piedmonte,actor,3,4.333333333333333
john de bello,actor,3,4.333333333333333
callum mcgowan,actor,3,4.333333333333333
harley morenstein,actor,3,4.333333333333333
allan kolman,actor,3,4.333333333333333
jukka puotila,actor,3,4.333333333333333
william dennis hunt,actor,3,4.333333333333333
sefik onatoglu,actor,3,4.333333333333333
grant schumacher,actor,3,4.333333333333333
gokul anand,actor,3,4.333333333333333
andreas karras,actor,3,4.3333333333333339
eugene simon,actor,3,4.3333333333333339
jack guzman,actor,3,4.3333333333333339
adam copeland,actor,3,4.3333333333333339
dino morea,actor,10,4.339999999999999
ryan carnes,actor,5,4.34
jason connery,actor,5,4.34
vincent klyn,actor,5,4.34
gurmeet choudhary,actor,4,4.35
david a.r. white,actor,10,4.35
hiram a. murray,actor,4,4.35
hüseyin elmalipinar,actor,4,4.35
michal zbroja,actor,4,4.35
bentley kalu,actor,4,4.35
jeremy london,actor,6,4.3500000000000005
nicholas irons,actor,4,4.3500000000000005
ryan slater,actor,5,4.3599999999999994
ry barrett,actor,8,4.3625000000000007
hakan bilgin,actor,14,4.3642857142857148
lukas hassel,actor,3,4.3666666666666663
john putch,actor,3,4.3666666666666663
keith ferguson,actor,6,4.3666666666666663
matt connelly,actor,3,4.3666666666666671
jack griffo,actor,3,4.3666666666666671
peter o'brien,actor,3,4.3666666666666671
sisqó,actor,3,4.3666666666666671
darrell hammond,actor,9,4.3666666666666671
